hospital_id,hospital_name,address,latitude,longitude
A1120837,가산기대찬의원,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 111~114호 (가산동)",37.4803938036867,126.8841224970078
A1104130,365엠씨의원,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",37.5166041956,127.0218085089
A1124291,(의)가산의료재단광동병원,서울특별시 강남구 봉은사로 612 (삼성동),37.5142810376461,127.062146778337
A1125194,000의원,"서울특별시 서초구 강남대로 509, 하늘안과 B동 7층 (반포동)",37.5076445712488,127.022491634375
A1117873,가로수치과의원,"서울특별시 관악구 신원로 38, 5층 (신림동, 청암빌딩)",37.48191798611885,126.9293767300304
B1101030,경희남촌한의원,서울특별시 강서구 까치산로 29 (화곡동),37.542512790831,126.843494308118
B1101553,경희신창한의원,"서울특별시 강남구 선릉로126길 6, 4층 (삼성동)",37.5151569085,127.0426343582
B1100027,(의)가산의료재단광동한방병원,서울특별시 강남구 봉은사로 612 (삼성동),37.5142810376461,127.062146778337
B1105364,가좌경희한의원,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",37.5708141022,126.9127073134
A1106202,(의)미래의료재단리드림의원,"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",37.5080031582356,127.058887185824
B1106502,10월10일한의원,"서울특별시 서초구 양재천로 99-2, 유림빌딩 2층 (양재동)",37.4763877807578,127.040001794114
B1102534,호정한의원,서울특별시 관악구 신원로 23 (신림동),37.48159350334702,126.92807268340744
A1106364,(의)성광의료재단차움건진의원,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",37.5077804973225,127.05820568843
B1106150,21세기한의원,"서울특별시 중구 남대문시장길 73-3, 7층 (회현동1가)",37.5609891377777,126.980011086024
B1101730,경희백두한의원,"서울특별시 강서구 양천로 492, 2층 202호 (등촌동, 길훈엔트런스빌)",37.56086385048082,126.8545572403663
A1116513,97.7비엔에치의원,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",37.53218945103117,127.01081601251772
A1106309,(의)열린의료재단영등포열린의원,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",37.5165301858178,126.90604309721
A1123159,10년전당신의오늘의원,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",37.5236304940728,127.045733608353
A1122441,강북권의료복지사회적협동조합명성의원,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",37.6723293932498,127.043686692857
B1105296,경희장원한의원,"서울특별시 강남구 논현로167길 17, 4층 (신사동)",37.5244875087715,127.026694816905
B1105308,S앤비한의원,"서울특별시 송파구 가락로 169 (송파동,2층)",37.5040597913,127.1138783477
